Genus	Species	1C (pg)
Gossypium	raimondii	0.9
Gossypium	klotzschianum	0.9
Betula	alba	0.9
Lupinus	semperflorens	0.9
Acacia	suaveolens	0.9
Crataegus	hupehensis	0.9
Veronica	vindobonensis	0.9
Centaurea	diffusa	0.9
Vinca	herbacea	0.9
Monanthes	anagensis	0.9
Phoenix	canariensis	0.9
Duchesnea	intermedia	0.9
Retama	sphaerocarpa	0.9
Veronica	officinalis	0.9
Sixalix	atropurpurea	0.9
Leucaena	greggii	0.91
Leucaena	salvadorensis	0.91
Lupinus	lanatus	0.91
Schiedea	helleri	0.91
Mitriostigma	axillaris	0.91
Begonia	serratipetala	0.91
Cannabis	ruderalis	0.91
Wolffia	borealis	0.91
Passiflora	suberosa	0.92
Acacia	oswaldii	0.92
Microlaena	stipoides	0.92
Curcuma	mangga	0.92
Atriplex	portulacoides	0.92
Penstemon	cyananthus	0.92
Turnera	krapovickasii	0.92
Atriplex	stipitata	0.92
Curcuma	rubrobracteata	0.92
Penstemon	eriantherus	0.92
Schiedea	ligustrina	0.92
Digitaria	iburua	0.92
Melicope	ternata	0.93
Plantago	crypsoides	0.93
Nenax	microphylla	0.93
Lycopersicon	hirsutum	0.93
Lycopersicon	humboldtii	0.93
Cicer	judaicum	0.93
Persea	americana	0.93
Prunus	domestica	0.93
Lycopersicon	cheesemanii	0.93
Spiraea	sargentiana	0.93
Rosa	spinosissima	0.93
Berberis	serrato-dentata	0.93
Quercus	robur	0.93
Quercus	pubescens	0.93
Drosera	linearis	0.93
Lupinus	angustifolius	0.93
Oryza	granulata	0.93
Crocosmia	masonorum	0.93
Crambe	scaberrima	0.93
Dracaena	draco	0.93
Schiedea	obovata	0.93
Colubrina	asiatica	0.93
Gossypium	turneri	0.93
Gossypium	davidsonii	0.93
Gossypium	harknessii	0.93
Lupinus	cryptanthus	0.93
Lupinus	multiflorus	0.93
Hakea	teretifolia	0.93
Crambe	arborea	0.93
Veronica	kellererii	0.93
Curcuma	amada	0.93
Curcuma	aromatica	0.93
Fosterella	villosula	0.93
Fosterella	penduliflora	0.93
Begonia	brevirimosa	0.93
Rosa	pendulina	0.93
Penstemon	nitidus	0.93
Paspalum	quadrifarium	0.93
Digitaria	longiflora	0.93
Lupinus	magnistipulatus	0.94
Phyllota	phylicoides	0.94
Kickxia	scoaria	0.94
Curcuma	prakasha	0.94
Curcuma	rubescens	0.94
Stachys	iva	0.94
Schiedea	spergulina	0.94
Gossypium	aridum	0.94
Ribes	uva-crispa	0.94
Lupinus	linifolius	0.94
Crataegus	brachyacantha	0.94
Luzula	multiflora	0.94
Euonymus	europaeus	0.94
Buddleja	lindleyana	0.94
Protium	serratum	0.94
Hakea	tephrosperma	0.95
Anemanthele	lessoniana	0.95
Cassia	artemisioides	0.95
Euryale	ferox	0.95
Minuartia	graminifolia	0.95
Retama	monosperma	0.95
Coleonema	album	0.95
Phoenix	dactylifera	0.95
Glycine	canescens	0.95
Sisyrinchium	convolutum	0.95
Gleditsia	ferox	0.95
Cicer	arietinum	0.95
Cryptocoryne	lingua	0.95
Cryptocoryne	nevilli	0.95
Limnophila	sessiliflora	0.95
Trifolium	bilineatum	0.95
Trifolium	quartinianum	0.95
Trifolium	steudneri	0.95
Trifolium	uniflorum	0.95
Phaseolus	pluriflorus	0.95
Carludovica	drudeii	0.95
Cyclanthus	bipartitus	0.95
Cadetia	taylori	0.95
Dendrobium	affine	0.95
Dendrobium	forbesii	0.95
Dendrobium	taurinum	0.95
Dendrobium	macrophyllum	0.95
Pennisetum	alopecuroides	0.95
Acacia	raddiana	0.95
Quercus	suber	0.95
Quercus	cerris	0.95
Rosa	latibracteata	0.95
Luzula	nivea	0.95
Ipomoea	aquatica	0.95
Amaranthus	spinosus	0.95
Drosera	intermedia	0.95
Atriplex	rosea	0.95
Crotalaria	grahamiana	0.95
Cucumis	melo	0.95
Phaseolus	grayanus	0.95
Cienfuegosia	tripartita	0.95
Allocasuarina	verticillata	0.95
Lonicera	nitida	0.95
Lupinus	mutabilis	0.95
Crambe	laevigata	0.95
Veronica	peregrina	0.95
Oxybaphus	nyctagineus	0.95
Cerinthe	tristis	0.95
Retama	raetam	0.95
Schiedea	salicaria	0.95
Sesamum	latifolium	0.95
Calibrachoa	parviflora	0.96
Crocosmia	fucata	0.96
Gossypium	laxum	0.96
Gossypium	lobatum	0.96
Lupinus	reitzii	0.96
Schiedea	kauaiensis	0.96
Leontodon	incanus	0.96
Cicca	acida	0.96
Ribes	petraeum	0.96
Taraxacum	glaciale	0.96
Acacia	floribunda	0.96
Peltaria	emarginata	0.96
Schiedea	hookeri	0.96
Cytisus	striatus	0.97
Hakea	dactyloides	0.97
Nelumbo	lutea	0.97
Onosma	dalmatica	0.97
Scabiosa	leuchopylla	0.97
Sesamum	indicum	0.97
Mitragyna	parviflora	0.97
Ribes	rubrum	0.97
Melaleuca	quinquenervia	0.97
Crataegus	viburnifolia	0.97
Acanthus	mollis	0.97
Solanum	melongena	0.98
Solanum	seaforthianum	0.98
Hydrocotyle	vulgaris	0.98
Fraxinus	excelsior	0.98
Anthospermum	spathulatum	0.98
Piper	sylvestre	0.98
Senecio	aetnensis	0.98
Fallopia	baldschuanica	0.98
Eichhornia	crassipes	0.98
Phytelephas	aequatorialis	0.98
Casimiroa	edulis	0.98
Mollinedia	sp.	0.98
Calycanthus	chemonanthis	0.98
Rosa	bella	0.98
Rosa	foetida	0.98
Rosa	virginiana	0.98
Rosa	fedtschenkoana	0.98
Sida	spinosa	0.98
Crotalaria	retusa	0.98
Crotalaria	sericea	0.98
Clarkia	biloba	0.98
Hydrangea	quercifolia	0.98
Draba	lactea	0.98
Genista	radiata	0.98
Digitaria	exilis	0.98
Castanea	sativa	0.98
Senecio	palmensis	0.98
Pereskia	grandifolia	0.98
Nopalea	cochenillifera	0.98
Curcuma	roscoeana	0.98
Olneya	tesota	0.98
Lagerstroemia	tomentosa	0.99
Cardamine	yezoensis	0.99
Fraxinus	ornus	0.99
Centranthus	macrosiphon	0.99
Ochna	serrulata	0.99
Madhuca	longifolia	0.99
Ecdeiocolea	monostachya	0.99
Schiedea	perlmanii	0.99
Crataegus	sargentii	0.99
Crambe	strigosa	0.99
Wolffiella	hyalina	0.99
Crocosmia	paniculata	1
Lambertia	formosa	1
Isoplexis	canariensis	1
Petteria	ramentacea	1
Schiedea	haleakalensis	1
Carex	panicea	1
Galium	sterneri	1
Lonicera	coerulea	1
Glycine	tabacina	1
Glycine	microphylla	1
Vigna	glabrescens	1
Lupinus	luteus	1
Lycopersicon	racemiflorum	1
Vetiveria	zizanioides	1
Daucus	carota	1
Phytelephas	macrocarpa	1
Monocostus	uniflorus	1
Ipomoea	purpurea	1
Ipomoea	wrightii	1
Ipomoea	pes-tigridus	1
Phragmites	australis	1
Phyllanthus	distichus	1
Dendrobium	schulleri	1
Dendrobium	phalaenopsis	1
Quercus	ilex	1
Quercus	coccifera	1
Xylopia	sp.	1
Annona	cacans	1
Annona	lutescens	1
Guatteria	schlechtendaliana	1
Oryza	grandiglumis	1
Cassia	obtusifolia	1
Amsinckia	douglasiana	1
Crotalaria	intermedia	1
Silene	coeli-rosa	1
Gossypioides	raimondii	1
Cienfuegosia	yucatanensis	1
Lupinus	mexicanus	1
Crataegus	collina	1
Cardamine	schinziana	1
Crocosmia	aurea	1.01
Einadia	nutans	1.01
Crataegus	aprica	1.01
Cardamine	x ferrarii	1.01
Alnus	glutinosa	1.01
Ribes	alpinum	1.01
Lactuca	capensis	1.01
Crepis	pantocseki	1.01
Erythrina	stricta	1.01
Ixiolirion	ledebourii	1.02
Crataegus	nitida	1.02
Crataegus	rufula	1.02
Centaurea	kernerana	1.02
Isoplexis	chalcantha	1.02
Parolinia	intermedia	1.02
Genlisea	uncinata	1.02
Scabiosa	ochroleuca	1.02
Teline	stenopetala	1.02
Drypetes	roxburghii	1.02
Solanum	nodiflorum	1.03
Coleonema	pulchrum	1.03
Galium	aparine	1.03
Sisyrinchium	scabrum	1.03
Piper	nigrum	1.03
Piper	argyrophyllum	1.03
Tephrosia	leptostachya	1.03
Lycopersicon	esculentum	1.03
Lycopersicon	racemigerum	1.03
Setaria	sphacelata	1.03
Froesiodendron	surinmense	1.03
Spinacia	oleracea	1.03
Simarouba	glauca	1.03
Lactuca	palmensis	1.03
Schizogyne	sericea	1.03
Schizogyne	glaberrima	1.03
Psychotria	ipecacuanha	1.03
Trifolium	polymorphum	1.03
Genlisea	violacea	1.03
Scrophularia	glabrata	1.03
Teline	osyroides	1.03
Convolvulus	canariensis	1.03
Luzula	alpina	1.03
Carpinus	betulus	1.03
Dorycnium	pentaphyllum	1.03
Xanthorrhoea	preisii	1.04
Sedum	rupestre	1.04
Callistemon	citrinus	1.04
Sorghum	macrospermum	1.04
Scrophularia	smithii	1.04
Genista	pilosa	1.04
Taraxacum	hoppeanum	1.04
Lomelosia	crenata	1.04
Veronica	bellidioides	1.04
Lepidium	latifolium	1.04
Ixanthus	viscosus	1.04
Panicum	miliaceum	1.04
Erucastrum	gallicum	1.04
Stachys	menthaefolia	1.04
Acer	x bornmuelleri	1.04
Cochlearia	tatrae	1.04
Hydrangea	seemannii	1.05
Oryza	alta	1.05
Bryonia	verrucosa	1.05
Luzula	divulgata	1.05
Leontodon	crispus	1.05
Sorbus	aria x intermedia	1.05
Schiedea	kealiae	1.05
Stellaria	media	1.05
Solanum	aculeastrum	1.05
Senecio	pterophorus	1.05
Ptelea	baldwinii	1.05
Gleditsia	sinensis	1.05
Paspalum	notatum	1.05
Lotus	corniculatus	1.05
Panicum	thermale	1.05
Ficus	elastica	1.05
Ludwigia	pilosa	1.05
Tacca	plantaginea	1.05
Vigna	minima	1.05
Broughtonia	sanguinea	1.05
Dendrobium	gouldii	1.05
Dendrobium	lasianthera	1.05
Lupinus	hispanicus	1.05
Spergula	arvensis	1.05
Benincasa	hispida	1.05
Crotalaria	brownei	1.05
Brighamia	insignis	1.05
Craterostigma	plantagineum	1.05
Sorghum	ecarinatum	1.05
Neotorularia	humilis	1.05
Dioscorea	esculenta	1.05
Brahea	dulcis	1.06
Suaeda	maritima	1.06
Valeriana	celtica	1.06
Convolvulus	floridus	1.06
Dioscorea	alata	1.06
Distylium	myricoides	1.06
Schiedea	lydgatei	1.06
Malus	hupehensis	1.06
Scabiosa	lucida	1.06
Jacquinia	aculeate	1.07
Convolvulus	perraudieri	1.07
Convolvulus	scoparius	1.07
Genista	ovata	1.07
Schiedea	adamantis	1.07
Cirsium	heterophyllum	1.07
Xeranthemum	annuum	1.07
Calandrinia	polyandra	1.07
Azorina	vidalii	1.07
Potentilla	hirta	1.07
Salvia	glutinosa	1.07
Scabiosa	columbaria	1.07
Cucumis	dinteri	1.08
Ulmus	glabra	1.08
Apium	nodiflorum	1.08
Glycine	latifolia	1.08
Nymphaea	lotus	1.08
Acacia	seyal	1.08
Eupomatia	benettii	1.08
Rosa	damascena	1.08
Luzula	lutea	1.08
Crepis	zacintha	1.08
Hieracium	piloselloides	1.08
Oryza	australiensis	1.08
Senecio	inaequidens	1.08
Stemmacantha	cynaroides	1.08
Curcuma	angustifolia	1.08
Cuscuta	europaea	1.08
Centaurea	visiani	1.08
Calla	palustris	1.08
Veronica	anagallis-aquatica	1.08
Centaurea	nervosa	1.08
Centaurea	stenolepis	1.08
Parrya	nudicaulis	1.08
Silene	bosniacum	1.08
Malus	sikkimensis	1.08
Centaurea	gloriosa	1.09
Centaurea	cuspidata	1.09
Dianthus	petraeus	1.09
Scabiosa	cinerea	1.09
Dentaria	heptaphylla	1.09
Cyanus	thirkei	1.09
Centaurea	parilica	1.09
Bornmuellera	tymphaea	1.09
Paracautleya	bhatii	1.09
Crataegus	microphylla	1.09
Minuartia	gerardii	1.09
Merrilliodendron	megacarpum	1.09
Campanula	cespitosa	1.09
Sorghum	stipoideum	1.1
Phagnalon	umbelliforme	1.1
Campanula	rotundifolia	1.1
Malus	sieboldii	1.1
Lamium	album	1.1
Lamium	purpureum	1.1
Tritonia	crocosmiifolia	1.1
Bulnesia	bonariensis	1.1
Notylia	barkeri	1.1
Oncidium	flexuosum	1.1
Myosurus	minimus	1.1
Senecio	rupestris	1.1
Fallopia	cilinodis	1.1
Thalictrum	fendleri	1.1
Cynara	scolymus	1.1
Dendrobium	tangerinum	1.1
Acacia	nilotica	1.1
Acacia	tortilis	1.1
Mollinedia	sp.	1.1
Guatteriopsis	hispida	1.1
Rosa	gallica	1.1
Pueraria	lobata	1.1
Amsinckia	spectabilis	1.1
Lotus	edulis	1.1
Trichosanthes	anguina	1.1
Crotalaria	saltiana	1.1
Clarkia	xantiana	1.1
Gomesa	flexuosa	1.1
Chenopodium	desertorum	1.1
Curcuma	aurantiaca	1.1
Wolffia	cylindracea	1.1
Malus	toringoides	1.1
Malus	spectabilis	1.1
Malus	halliana	1.1
Tillandsia	cyanea	1.11
Staehelina	fruticosa	1.11
Crataegus	x subsphaericea	1.11
Euphorbia	cyparissias	1.11
Plantago	indica	1.11
Taraxacum	bessarabicum	1.11
Scabiosa	triandra	1.11
Crepis	pusilla	1.11
Spartocytisus	supranubius	1.12
Malus	komarovii	1.12
Trifolium	repens	1.12
Crocosmia	x crocosmiiflora	1.12
Cirsium	canum	1.12
Erythrina	vespertilio	1.12
Dorycnium	eriophtalmum	1.12
Hitchenia	caulina	1.12
Kochia	scoparia	1.12
Sorbus	torminalis	1.12
Petrorhagia	saxifraga	1.12
Cardamine	yezoensis	1.12
Solanum	atropurpureum	1.13
Cucumis	heptadactylus	1.13
Glycine	tomentella	1.13
Polyalthia	longifolia	1.13
Melilotus	officinalis	1.13
Cotoneaster	melanocarpa	1.13
Ludwigia	peruviana	1.13
Vigna	dalzelliana	1.13
Vigna	aconitifolia	1.13
Glycine	max	1.13
Ilex	paraguariensis	1.13
Rosa	centifolia	1.13
Eschscholzia	californica	1.13
Brachycome	dichromosomatica	1.13
Lotus	arenarius	1.13
Crotalaria	lanceolata	1.13
Corynephorus	canescens	1.13
Silene	vulgaris	1.13
Phragmites	communis	1.13
Hydrangea	integrifolia	1.13
Erythrina	fusca	1.13
Curcuma	pseudomontana	1.13
Cytisus	heuffelii	1.13
Satureja	cuneifolia	1.13
Drimys	vickeriana	1.13
Carthamus	leucocaulos	1.13
Cardamine	torrentis	1.13
Melaleuca	leucadendra	1.13
Solidago	virgaurea	1.13
Taraxacum	tenuifolium	1.14
Phyteuma	orbiculare	1.14
Plantago	arenaria	1.14
Sorghum	intrans	1.14
Mespilus	canescens	1.14
Hypochaeris	oligocephala	1.14
Teline	pallida	1.14
Dianthus	integer	1.14
Crepis	leontodontoides	1.14
Barringtonia	acutangula	1.14
Malus	sargentii	1.14
Leucaena	involucrata	1.15
Saxifraga	granulata	1.15
Teucrium	heterophyllum	1.15
Curcuma	inodora	1.15
Curcuma	reclinata	1.15
Curcuma	kudagensis	1.15
Curcuma	neilgherrensis	1.15
Astragalus	vesicarius	1.15
Paspalum	dilatatum	1.15
Datisca	cannabina	1.15
Solanum	polyadenium	1.15
Bellis	perennis	1.15
Hyoscyamus	niger	1.15
Ilex	aquifolium	1.15
Impatiens	glandulifera	1.15
Glycine	soja	1.15
Oxalis	linearis	1.15
Sisyrinchium	cuspidatum	1.15
Sisyrinchium	macrocarpum	1.15
Artocarpus	heterophylla	1.15
Spathodea	campanulata	1.15
Pennisetum	clandestinum	1.15
Brassica	napus	1.15
Corchorus	capsularis	1.15
Lycopersicon	peruvianum	1.15
Daucus	aureus	1.15
Photinea	parvifolia	1.15
Peperomia	obtusifolia	1.15
Phaseolus	lathyroides	1.15
Ipomoea	nil	1.15
Albizzia	amara	1.15
Dendrobium	helix	1.15
Dendrobium	conanthum	1.15
Rosa	x hybrida	1.15
Cienfuegosia	hitchcockii	1.15
Luzula	luzuloides	1.15
Oryza	latifolia	1.15
Agoseris	heterophylla	1.15
Coccoloba	diversifolia	1.15
Crocosmia	x latifolia	1.15
Amelanchier	canadensis	1.15
Sorghum	bulbosum	1.15
Crataegus	finitima	1.15
Spartocytisus	filipes	1.15
Digitalis	grandiflora	1.15
Oenothera	glazoviana	1.15
Ramonda	nathaliae	1.15
Plantago	afra	1.15
Hydrangea	arborescens	1.16
Brachychiton	discolor	1.16
Cirsium	oleraceum	1.16
Ambrosia	artemisiifolia	1.16
Cornus	sanguinea	1.16
Leontodon	autumnalis	1.16
Plantago	psyllium	1.17
Oenothera	ammophila	1.17
Schleichera	oleosa	1.17
Cirsium	erisithales	1.17
Kaempferia	scaposa	1.17
Curcuma	cannanorensis	1.17
Centaurea	rupestris s.l.	1.17
Curcuma	karnatakensis	1.17
Viola	adriatica	1.17
Hypochaeris	laevigata	1.17
Poa	infirma	1.18
Solanum	incanum	1.18
Lapsana	communis	1.18
Teucrium	scorodonia	1.18
Oxalis	sepium	1.18
Oxalis	frutescens	1.18
Anthospermum	ibityense	1.18
Jacaranda	mimosifolia	1.18
Gelonium	multiflorum	1.18
Nypa	fruticans	1.18
Cajanus	volubilis	1.18
Dunbaria	ferruginea	1.18
Carex	siderosticta	1.18
Acacia	falciformis	1.18
Tagetes	patula	1.18
Atriplex	hortensis	1.18
Taraxacum	vulgare	1.18
Phalaenopsis	amabilis	1.18
Silene	pendula	1.18
Prunus	padus	1.18
Crataegus	wattiana	1.18
Curcuma	decipiens	1.18
Lactuca	tenerrima	1.18
Parnassia	palustris	1.18
Crataegus	x macrocarpa	1.18
Penstemon	pratensis	1.18
Penstemon	attenuatus	1.18
Sesamum	laciniatum	1.18
Crataegus	compacta	1.18
Crataegus	phaenopyrum	1.18
Crataegus	rhipidophylla	1.18
Penstemon	caespitosus	1.18
Microlaena	polynoda	1.19
Vinca	difformis	1.19
Ceballosia	fruticosa	1.19
Penstemon	azureus	1.19
Schiedea	stellarioides	1.19
Verbena	rigida	1.19
Mirabilis	jalapa	1.19
Oenothera	lamarckiana	1.19
Crataegus	pruinosa	1.19
Ocotea	foetens	1.2
Paspalum	dasypleurum	1.2
Diospyros	discolor	1.2
Solanum	stenotomum	1.2
Cucumis	metuliferus	1.2
Philodendron	andreanum	1.2
Chelidonium	majus	1.2
Anethum	graveolens	1.2
Plantago	lanceolata	1.2
Glycine	arenaria	1.2
Glycine	clandestina	1.2
Coffea	arabica	1.2
Sisyrinchium	tenuifolium	1.2
Petunia	inflata	1.2
Larrea	cuneifolia	1.2
Leochilus	oncidioides	1.2
Sisyndite	spartea	1.2
Amaranthus	edulis	1.2
Microseris	douglasii	1.2
Bacopa	caroliniana	1.2
Ipomoea	littoralis	1.2
Acacia	nilotica	1.2
Dendrobium	lindleyi	1.2
Dendrobium	parishii	1.2
Dendrobium	bicaudatum	1.2
Setaria	leiantha	1.2
Myristica	fragrans	1.2
Digitaria	sanguinalis	1.2
Picris	echioides	1.2
Crotalaria	striata	1.2
Clarkia	lingulata	1.2
Cirsium	rivulare	1.2
Colpodium	versicolor	1.2
Dioscorea	bulbifera	1.2
Syringa	vulgaris	1.2
Wolffia	neglecta	1.2
Paspalum	urvillei	1.2
Paspalum	pauciciliatum	1.2
Phleum	rhaeticum	1.2
Malus	toringo	1.21
Malus	ioensis	1.21
Thymus	daënensis	1.21
Crataegus	succulenta	1.21
Tinguarra	cervariaefolia	1.21
Onosma	heterotrichum	1.21
Sesamum	capense	1.21
Tabebuia	palmeri	1.21
Malus	coronaria	1.21
Coronilla	emerus	1.22
Oenothera	biennis	1.22
Atriplex	halimus	1.22
Cirsium	pannonicum	1.22
Lupinus	texensis	1.22
Carthamus	nitidus	1.22
Lotus	berthelotii	1.22
Penstemon	tubaeflorus	1.22
Pinellia	pedatisecta	1.22
Solanum	catombelense	1.23
Melilotus	altissima	1.23
Cucumis	dipsaceus	1.23
Cucumis	humifructus	1.23
Centaurium	erythraea	1.23
Callitriche	stagnalis	1.23
Digitalis	purpurea	1.23
Nertera	granadensis	1.23
Sisyrinchium	bermudiana	1.23
Piper	apiculatum	1.23
Tephrosia	noctiflora	1.23
Annona	squamosa	1.23
Senecio	vernalis	1.23
Amaranthus	tricolor	1.23
Sesbania	rostrata	1.23
Lycopersicon	pennellii	1.23
Rhynchosia	aurea	1.23
Eupomatia	laurina	1.23
Acacia	leptocarpa	1.23
Setaria	glauca	1.23
Crotalaria	juncea	1.23
Machaeranthera	tenuis	1.23
Tinguarra	montana	1.23
Nyctanthes	arbor-tristis	1.23
Myrsine	africana	1.23
Rubus	chamaemorus	1.23
Erythrina	velutina	1.23
Senna	artemisioides	1.24
Sclerolaena	diacantha	1.24
Cardamine	yezoensis	1.24
Eleocharis	acicularis	1.24
Geranium	tuberosum	1.24
Aremonia	agrimonoides	1.24
Rytidosperma	gracile	1.24
Lotus	glaucus	1.24
Cyanus	napuliferus	1.24
Penstemon	humilis	1.24
Schiedea	verticillata	1.24
Physorhynchus	chamaerapistrum	1.24
Nemophila	menziesii	1.25
Sorghum	laxiflorum	1.25
Crataegus	munda	1.25
Lotus	mascaënsis	1.25
Chamaecytisus	proliferus	1.25
Curcuma	mutabilis	1.25
Brasenia	schreberi	1.25
Arctostaphylos	uva-ursi	1.25
Ecballium	elaterium	1.25
Beta	vulgaris	1.25
Artedia	squamata	1.25
Armoracia	lapatifolia	1.25
Plantago	lagopus	1.25
Sisyrinchium	macounii	1.25
Sisyrinchium	striatum	1.25
Tephrosia	polystachya	1.25
Artocarpus	lakoocha	1.25
Anogeissus	latifolia	1.25
Cicer	cuneatum	1.25
Eleusine	verticillata	1.25
Daucus	syrticus	1.25
Trifolium	simense	1.25
Eustrephus	latifolius	1.25
Bridelia	retusa	1.25
Polyalthia	suberosa	1.25
Rhynchosia	cana	1.25
Rhynchosia	rothii	1.25
Laelia	rubescens	1.25
Galinsoga	parviflora	1.25
Cattleya	schombocattleya	1.25
Crotalaria	pallida	1.25
Crotalaria	verrucosa	1.25
Clarkia	cylindrica	1.25
Dendroseris	litoralis	1.25
Dendroseris	micrantha	1.25
Sedum	acre	1.25
Echinops	strigosus	1.25
Fibigia	clypeata	1.25
Onobrychis	viciifolia	1.25
Rhynchosia	minima	1.25
Daphniphyllum	pentandrum	1.25
Sorghum	matarankense	1.26
Tillandsia	usneoides	1.26
Cyanus	tuberosus	1.26
Lotus	sessilifolius	1.26
Valeriana	rotundifolia	1.26
Dracaena	deremensis	1.26
Astelia	fragrans	1.27
Acacia	dealbata	1.27
Cirsium	spinosissimum	1.27
Schiedea	nuttallii	1.27
Dentaria	enneaphyllos	1.27
Arachis	duranensis	1.27
Crataegus	chrysocarpa	1.27
Degenia	velebitica	1.27
Pandanus	odorifer	1.27
Beta	maritima	1.28
Taraxacum	officinale	1.28
Glycine	argyrea	1.28
Coprosma	robusta	1.28
Petunia	violacea	1.28
Tephrosia	oxygona	1.28
Tephrosia	villosa	1.28
Leucaena	leucocephala	1.28
Cassia	excelsa	1.28
Larrea	tridentata	1.28
Cicer	bijugum	1.28
Cicer	pinnatifidum	1.28
Aronia	arbutifolia	1.28
Leucaena	esculenta	1.28
Albizzia	lucida	1.28
Crotalaria	mucronata	1.28
Clarkia	dudleyana	1.28
Crataegus	aemula	1.28
Amelanchier	stolonifera	1.28
Prosopis	cineraria	1.28
Empetrum	hermaphroditum	1.28
Asparagus	umbellatus	1.28
Stachys	sylvatica	1.28
Patrinia	rupestris	1.28
Cajanus	albicans	1.29
Brachypodium	retusum	1.29
Dioscorea	cayenensis	1.29
Acer	heldreichii	1.29
Patrinia	scabiosifolia	1.29
Digitaria	ciliaris	1.29
Cerastium	eriophorum	1.29
Cirsium	palustre	1.29
Fibigia	eriocarpa	1.29
Telekia	speciosa	1.29
Eleocharis	carniolica	1.29
Cerastium	grandiflorum	1.29
Gardenia	resiniflua	1.3
Ramonda	myconi	1.3
Mercurialis	annua	1.3
Galium	palustre	1.3
Juncus	bufonius	1.3
Syringa	josikaea	1.3
Oxalis	hedysarifolia	1.3
Eleusine	multiflora	1.3
Euphorbia	pulcherrima	1.3
Dioscorea	cayenensis-rotundata	1.3
Callitriche	truncata	1.3
Houttuynia	cordata	1.3
Ludovia	lancifolia	1.3
Curcuma	zanthorrhiza	1.3
Hypochaeris	glabra	1.3
Cicer	echinospermum	1.3
Phaseolus	geophillus	1.3
Hypochaeris	robertia	1.3
Ipomoea	obscura	1.3
Ipomoea	tabascana	1.3
Acacia	verek	1.3
Cajanus	platycarpus	1.3
Dendrobium	bellatulum	1.3
Dendrobium	crumenatum	1.3
Dendrobium	atroviolaceum	1.3
Phytolacca	dioica	1.3
Phytolacca	rivinoides	1.3
Salacca	zalacca	1.3
Amsinckia	furcata	1.3
Lotus	ornithopoides	1.3
Thalictrum	aquilegiifolium	1.3
Platanus	orientalis	1.3
Petunia	altiplana	1.3
Cerastium	arvense	1.3
Ramonda	pyrenaica	1.3
Sansevieria	trifasciata	1.3
Jacaranda	cuspidifolia	1.3
Crataegus	lepida	1.3
Curcuma	coriacea	1.3
Fibigia	triquetra	1.3
Halacsya	sendtneri	1.3
Valeriana	montana	1.3
Conostylis	candicans	1.31
Viola	anagae	1.31
Penstemon	confertus	1.31
Genlisea	lobata	1.31
Stylobasium	spathulatum	1.31
Cirsium	acaule	1.31
Erythrina	corallodendron	1.31
Taraxacum	brachyglossum	1.31
Sonchus	radicatus	1.31
Veronica	ciliata	1.31
Veronicastrum	virginicum	1.31
Carthamus	oxyacantha	1.31
Salsola	soda	1.31
Hydrastis	canadensis	1.31
Navarretia	squarrosa	1.32
Cotoneaster	veitchii	1.32
Veronica	missurica	1.32
Wolffia	globosa	1.32
Haldina	cordifolia	1.32
Silene	pusilla	1.32
Correa	virens	1.33
Rhamnus	catharticus	1.33
Solanum	viarum	1.33
Glycine	cyrtoloba	1.33
Tephrosia	incana	1.33
Annona	reticulata	1.33
Cenchrus	ciliaris	1.33
Echinochloa	frumentacea	1.33
Senecio	leucanthemifolius	1.33
Hesperoxiphion	herrerae	1.33
Melilotus	alba	1.33
Phoenix	theophrasti	1.33
Cicer	reticulatum	1.33
Acacia	gerrardi	1.33
Acacia	salicina	1.33
Lotus	requienii	1.33
Onopordum	acanthium	1.33
Impatiens	balsamina	1.33
Tropaeolum	majus	1.33
Crataegus	douglasii	1.33
Carthamus	persicus	1.33
Euphorbia	capitulata	1.33
Chenopodium	opulifolium	1.33
Tolpis	laciniata	1.33
Oryza	ridleyi	1.33
Digitaria	lecardii	1.33
Sesamum	radiatum	1.33
Cardamine	asarifolia	1.34
Turnera	subulata	1.34
Erythrina	blakei	1.34
Gossypium	longicalyx	1.34
Lupinus	albicaulis	1.34
Crataegus	triflora	1.34
Amelanchier	alnifolia	1.34
Paronychia	canariensis	1.34
Hypochaeris	radicata	1.34
Centaurea	tuberosa	1.35
Viola	beckiana	1.35
Schiedea	mannii	1.35
Uncinia	meredensis	1.35
Solanum	alatum	1.35
Solanum	pseudocapsicum	1.35
Torilis	leptophylla	1.35
Viola	riviniana	1.35
Echinochloa	crus-galli	1.35
Glycine	latrobeana	1.35
Tephrosia	subtriflora	1.35
Celtis	australis	1.35
Senecio	chrysanthemifolius	1.35
Asparagus	officinalis	1.35
Crataegus	crus-galli	1.35
Hesperoxiphion	peruvianum	1.35
Ipomoea	muelleri	1.35
Ipomoea	sagittata	1.35
Dendrobium	canaliculatum	1.35
Dendrobium	violaceoflavens	1.35
Panicum	virgatum	1.35
Annona	glabra	1.35
Peperomia	magnoliaefolia	1.35
Echinochloa	colonum	1.35
Wulfenia	carinthiaca	1.35
Carthamus	dentatus	1.35
Sonchus	gummifer	1.35
Curcuma	leucorhiza	1.35
Viola	elegantula	1.35
Acer	campestre	1.35
Acer	pseudoplatanus	1.35
Cotoneaster	hjelmqvistii	1.35
Hydrangea	anomala	1.36
Leucaena	diversifolia	1.36
Cicer	songaricum	1.36
Crataegus	rivularis	1.36
Carthamus	gypsicola	1.36
