Genus	Species	1C (pg)
Sisymbrium	orientale	0.31
Zostera	marina	0.32
Sedum	stoloniferum	0.32
Draba	nivalis	0.32
Thlaspi	tymphaeum	0.32
Eugenia	punicifolia	0.32
Eugenia	multicostata	0.32
Thlaspi	rosulare	0.32
Forsskaolea	angustifolia	0.32
Veronica	cinerea	0.32
Thellungiella	sp.	0.32
Tauscheria	lasiocarpa	0.32
Frankenia	sp.	0.32
Echium	bonnetii	0.32
Orthophytum	saxicola	0.32
Prunus	cistena	0.32
Begonia	luxuarians	0.32
Begonia	echinosepala	0.32
Sinningia	richii	0.32
Crucihimalaya	himalaica	0.32
Kirkia	acuminata	0.33
Acaena	magellanica	0.33
Ruta	chalepensis	0.33
Typha	latifolia	0.33
Mentha	piperita	0.33
Urtica	urens	0.33
Pistia	stratiotes	0.33
Calathea	princeps	0.33
Carex	laticeps	0.33
Carex	sendaica	0.33
Carex	pisiformis	0.33
Carex	shimidzensis	0.33
Cochlearia	sempervivum	0.33
Paliurus	spina-christi	0.33
Veronica	arvensis	0.33
Arabis	tibetica	0.33
Wahlenbergia	lobelioides	0.33
Prunus	mira	0.33
Prunus	dulcis	0.33
Prunus	domestica	0.33
Lepidium	densiflorum	0.33
Frangula	alnus	0.33
Lemna	valdiviana	0.33
Coriaria	myrtifolia	0.33
Medusagyne	oppositifolia	0.33
Lepidium	virginicum	0.33
Severinia	buxifolia	0.34
Thlaspi	oxyceras	0.34
Utricularia	reniformis	0.34
Thlaspi	caerulescens	0.34
Hypericum	reflexum	0.34
Prunus	besseyi	0.34
Euonymus	verrucosus	0.34
Arabidopsis	pumila	0.34
Lawsonia	inermis	0.34
Hypericum	glandulosum	0.34
Begonia	tomentosa	0.34
Frangula	rupestris	0.34
Lagenaria	siceraria	0.34
Sinningia	guttata	0.34
Cucurbita	foetidissima	0.34
Trifolium	ligusticum	0.34
Rubus	ellipticus	0.35
Rubus	lasiococcus	0.35
Brachypodium	arbuscula	0.35
Euphorbia	peplus	0.35
Herrania	albiflora	0.35
Juncus	scheuchzerioides	0.35
Salix	elegantissima	0.35
Bulnesia	sarmientoi	0.35
Chloris	gayana	0.35
Fallopia	dumetorum	0.35
Prunus	avium	0.35
Fragaria	moschata	0.35
Oryza	brachyantha	0.35
Calathea	zebrina	0.35
Carex	curviollis	0.35
Casuarina	glauca	0.35
Catunaregam	spinosa	0.35
Chorispora	tenella	0.35
Chrysochamela	velutina	0.35
Arabidopsis	suecica	0.35
Olimarabidopsis	pumila	0.35
