Genus	Species	1C (pg)	Original Reference	Paper
Carex	ischnostachya	0.28	Nishikawa et al., 1984 (Ref. 357)	2000
Luzula	pilosa	0.28	Barlow and Nevin, 1976 (Ref. 36)	1976
Draba	fladnizensis	0.28	Grundt et al., 2005 (Ref. 505)	2011
Nepeta	teydea	0.28	Suda et al., 2003 (Ref. 477)	2011
Draba	lasiocarpa	0.28	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Psidium	guajava	0.28	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Pimenta	dioica	0.28	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Calyptranthes	brasiliensis	0.28	Ribeiro da Costa et al., 2008 (Ref. 651)	2012
Nepenthes	pervillei	0.28	Hanson et al., 2001 (Ref. 378)	2005a
Mimusops	elengi	0.28	Ohri, 2002 (Ref. 454)	2005a
Draba	palanderiana	0.28	Grundt et al., 2005 (Ref. 505)	2011
Rubus	nivalis	0.28	Meng & Finn, 2002 (Ref. 600)	2011
Erysimum	sylvestre	0.28	Vidic et al., 2009 (Ref. 628)	2012
Rubus	niveus	0.29	Meng & Finn, 2002 (Ref. 600)	2011
